Bill_ID,Bill_Title,Category,Contributor_Name,Stellar_Wallet_Address,Amount_XLM,Amount_PHP_Equiv,Payment_Method,Status,Date_UTC,Transaction_Hash
1042,Stellar APAC Hackathon House,Lodging & Travel,Joshua Tan,GDHK4Y366J7A7XG7K92LAZ67OPQR34TUVWXYZ1234567890ABCDEFGH,50.00,322.50,Freighter (Gasless),Settled,2026-08-05 08:24:12,7a3b8c9d1e2f30415263748596a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5
1042,Stellar APAC Hackathon House,Lodging & Travel,Andrea Bautista,GCBX241PQ88ZZ14MN77KL90OPQR34TUVWXYZ1234567890ABCDEFGH,50.00,322.50,Freighter (Gasless),Settled,2026-08-05 09:15:30,8b4c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c
1042,Stellar APAC Hackathon House,Lodging & Travel,Miguel Santos,GBXY77KM99AA25NO88LM01PQR34TUVWXYZ1234567890ABCDEFGH,50.00,322.50,Freighter (Gasless),Settled,2026-08-05 10:42:05,9c5d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d
1042,Stellar APAC Hackathon House,Lodging & Travel,Bea Cruz,GA3D7TNR11BB36PQ99MN12PQR34TUVWXYZ1234567890ABCDEFGH,50.00,322.50,Freighter (Gasless),Settled,2026-08-05 11:30:18,0d6e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e
1042,Stellar APAC Hackathon House,Lodging & Travel,Rafael Garcia,GCT58KLM22CC47RS00NO23PQR34TUVWXYZ1234567890ABCDEFGH,50.00,322.50,Freighter (Gasless),Settled,2026-08-05 13:05:44,1e7f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f
1043,CS 402 Final Capstone Server Fund,Academic Project,Hannah Ramos,GDE49NOP33DD58ST11OP34PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-07 07:12:33,2f8a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a
1043,CS 402 Final Capstone Server Fund,Academic Project,Carlos Mendoza,GAF60QRS44EE69TU22PQ45PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-07 07:45:19,3a9b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b
1043,CS 402 Final Capstone Server Fund,Academic Project,Patricia Reyes,GBG71TUV55FF70VW33QR56PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-07 08:20:02,4b0c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c
1043,CS 402 Final Capstone Server Fund,Academic Project,Daniel Villanueva,GCH82WXY66GG81WX44RS67PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-07 09:14:50,5c1d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d
1044,Dorm High-Speed Starlink Sub,Shared Living,Samantha Lim,GDI93ZAB77HH92XY55ST78PQR34TUVWXYZ1234567890ABCDEFGH,40.00,258.00,Freighter (Gasless),Settled,2026-08-09 14:30:11,6d2e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e
1044,Dorm High-Speed Starlink Sub,Shared Living,Gabriel Aquino,GAJ04BCD88II03YZ66TU89PQR34TUVWXYZ1234567890ABCDEFGH,40.00,258.00,Freighter (Gasless),Settled,2026-08-09 15:10:45,7e3f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f
1044,Dorm High-Speed Starlink Sub,Shared Living,Alyssa Dizon,GBK15EFG99JJ14ZA77UV90PQR34TUVWXYZ1234567890ABCDEFGH,40.00,258.00,Freighter (Gasless),Settled,2026-08-09 16:02:22,8f4a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a
1044,Dorm High-Speed Starlink Sub,Shared Living,Christian Perez,GCL26HIJ00KK25AB88VW01PQR34TUVWXYZ1234567890ABCDEFGH,40.00,258.00,Freighter (Gasless),Settled,2026-08-09 17:40:19,9a5b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b
1044,Dorm High-Speed Starlink Sub,Shared Living,Sophia Castro,GDM37KLM11LL36BC99WX12PQR34TUVWXYZ1234567890ABCDEFGH,40.00,258.00,Freighter (Gasless),Settled,2026-08-09 18:22:07,0b6c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c
1045,UST Blockchain Org Merch Pool,Student Organization,Matthew Salazar,GAN48NOP22MM47CD00XY23PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-11 10:15:00,1c7d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d
1045,UST Blockchain Org Merch Pool,Student Organization,Camille Navarro,GBO59QRS33NN58DE11YZ34PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-11 11:04:18,2d8e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e
1045,UST Blockchain Org Merch Pool,Student Organization,Kenneth Flores,GCP60TUV44OO69EF22ZA45PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-11 11:45:52,3e9f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f
1045,UST Blockchain Org Merch Pool,Student Organization,Erika De Leon,GDQ71WXY55PP70FG33AB56PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-11 12:30:14,4f0a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a
1045,UST Blockchain Org Merch Pool,Student Organization,Angelo Morales,GAR82ZAB66QQ81GH44BC67PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-11 13:12:49,5a1b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b
1045,UST Blockchain Org Merch Pool,Student Organization,Nicole Gutierrez,GBS93BCD77RR92HI55CD78PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-11 14:05:30,6b2c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c
1046,Robotics Lab Sensor Hardware,Engineering Lab,Vincent Dela Cruz,GCT04EFG88SS03IJ66DE89PQR34TUVWXYZ1234567890ABCDEFGH,75.00,483.75,Freighter (Gasless),Settled,2026-08-13 09:20:15,7c3d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d
1046,Robotics Lab Sensor Hardware,Engineering Lab,Janine Pascual,GDU15HIJ99TT14JK77EF90PQR34TUVWXYZ1234567890ABCDEFGH,75.00,483.75,Freighter (Gasless),Settled,2026-08-13 10:11:42,8d4e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e
